Chemical,Plant Part,Compound_ID,SMILES,InChIKey,Molecular_Weight,LogP,HBD,HBA,Rotatable_Bonds,TPSA,Bioactivity_Label,Standard_SMILES,Mol,MolWt,LogP,TPSA,HBD,HBA,Lipinski_OK,Has_Reactive
BETA-COLUBRINE,Fruit,CID_251890,COC1=CC2=C(C=C1)N3[C@@H]4[C@]25CCN6[C@H]5C[C@@H]7[C@H]4[C@H](CC3=O)OCC=C7C6,ZTHVHELPCLGXHF-JPPAUQSISA-N,364.4,1.9,0,4,1,42,Active,COc1ccc2c(c1)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33060>,364.44500000000005,2.1010999999999997,42.010000000000005,0,4,TRUE,FALSE
BRUCINE,Seed,CID_442021,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC,RRKTZKIUPZVBMF-IBTVXLQLSA-N,394.5,1,0,5,2,51.2,Active,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A330D0>,394.4710000000001,2.1097,51.24,0,5,TRUE,FALSE
BRUCINE,Root,CID_442021,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC,RRKTZKIUPZVBMF-IBTVXLQLSA-N,394.5,1,0,5,2,51.2,Active,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33140>,394.4710000000001,2.1097,51.24,0,5,TRUE,FALSE
BRUCINE,Leaf,CID_442021,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC,RRKTZKIUPZVBMF-IBTVXLQLSA-N,394.5,1,0,5,2,51.2,Active,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A331B0>,394.4710000000001,2.1097,51.24,0,5,TRUE,FALSE
BRUCINE,Fruit,CID_442021,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC,RRKTZKIUPZVBMF-IBTVXLQLSA-N,394.5,1,0,5,2,51.2,Active,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33220>,394.4710000000001,2.1097,51.24,0,5,TRUE,FALSE
BRUCINE,Bark,CID_442021,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC,RRKTZKIUPZVBMF-IBTVXLQLSA-N,394.5,1,0,5,2,51.2,Active,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33290>,394.4710000000001,2.1097,51.24,0,5,TRUE,FALSE
BRUCINE-N-OXIDE,Fruit,CID_11122452,COC1=C(C=C2C(=C1)[C@]34CC[N+]5([C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)[O-])OC,HHHQMKWPZAYIAE-AWRJASDASA-N,410.5,0.4,0,5,2,66.1,Active,COc1cc2c(cc1OC)[C@@]13CC[N+]4([O-])CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@@H]34,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33300>,410.47000000000014,2.1223,71.05999999999999,0,5,TRUE,FALSE
C-MAVACURINE,Root Bark,CID_134716652,C/C=C\1/C[N+]2(CCC3=C4[C@@H]2C[C@@H]1C(N4C5=CC=CC=C35)CO)C,HFLUPWJGJPYITM-GTGFZELSSA-N,309.4,1.7,1,1,1,25.2,Active,C/C=C1/C[N+]2(C)CCc3c4n(c5ccccc35)C(CO)[C@H]1C[C@@H]42,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33370>,309.43300000000005,3.1983000000000015,25.16,1,2,TRUE,FALSE
CHOLINE,Seed,CID_305,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,104.17,-0.4,1,1,2,20.2,Active,C[N+](C)(C)CCO,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33450>,104.17299999999999,-0.3151,20.23,1,1,TRUE,FALSE
CONDYLOCARPINE,Seed,CID_5378963,C/C=C\1/C2CCN3C1C4(CC3)C5=CC=CC=C5NC4=C2C(=O)OC,BJAFGFIFFFKGKA-BASWHVEKSA-N,322.4,2.3,1,4,2,41.6,Active,C/C=C1/C2CCN3CCC4(C(=C2C(=O)OC)Nc2ccccc24)C13,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A334C0>,322.408,2.831100000000001,41.57,1,4,TRUE,FALSE
DIABOLINE,Seed,CID_12312946,CC(=O)N1[C@H]2[C@H]3[C@H]4C[C@H]5[C@@]2(CCN5CC4=CCO[C@H]3O)C6=CC=CC=C61,QSDMAJZSSDNJPO-YJQMPPAXSA-N,352.4,0.7,1,4,0,53,Active,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A335A0>,352.434,1.6584999999999999,53.010000000000005,1,4,TRUE,FALSE
GALACTOSE,Seed,CID_6036,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,WQZGKKKJIJFFOK-SVZMEOIVSA-N,180.16,-2.6,5,6,1,110,Active,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33680>,180.156,-3.2214,110.38000000000001,5,6,TRUE,FALSE
