Chemical,Plant Part,Compound_ID,SMILES,InChIKey,Molecular_Weight,LogP,HBD,HBA,Rotatable_Bonds,TPSA,Bioactivity_Label,Standard_SMILES,Mol,MolWt,LogP,TPSA,HBD,HBA,Lipinski_OK,Has_Reactive
PHENYLALANINE,Seed,CID_6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,COLNVLDHVKWLRT-QMMMGPOBSA-N,165.19,-1.5,2,3,3,63.3,Active,N[C@@H](Cc1ccccc1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x00000171583EF530>,165.19199999999995,0.641,63.32000000000001,2,2,TRUE,FALSE
PHENYLETHYLAMINE,Seed,CID_1001,C1=CC=C(C=C1)CCN,BHHGXPLMPWCGHP-UHFFFAOYSA-N,121.18,1.4,1,1,2,26,Active,NCCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000171583EF5A0>,121.18299999999995,1.1878,26.02,1,1,TRUE,FALSE
PHOSPHORUS,Fruit,CID_5462309,[P],OAICVXFJPJFONN-UHFFFAOYSA-N,30.973762,,0,0,0,0,Active,[P],<rdkit.Chem.rdchem.Mol object at 0x00000171583EF610>,30.974,0.8612,0,0,0,TRUE,FALSE
PHOSPHORUS,Seed,CID_5462309,[P],OAICVXFJPJFONN-UHFFFAOYSA-N,30.973762,,0,0,0,0,Active,[P],<rdkit.Chem.rdchem.Mol object at 0x00000171583EF680>,30.974,0.8612,0,0,0,TRUE,FALSE
PROLINE,Seed,CID_145742,C1C[C@H](NC1)C(=O)O,ONIBWKKTOPOVIA-BYPYZUCNSA-N,115.13,-2.5,2,3,1,49.3,Active,O=C(O)[C@@H]1CCCN1,<rdkit.Chem.rdchem.Mol object at 0x00000171583EF8B0>,115.13200000000002,-0.177,49.33,2,2,TRUE,FALSE
PROPIONIC-ACID,Seed,CID_1032,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,74.08,0.3,1,2,1,37.3,Active,CCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x00000171583EF920>,74.079,0.481,37.3,1,1,TRUE,FALSE
PROPYL-ACETATE,Plant,CID_7997,CCCOC(=O)C,YKYONYBAUNKHLG-UHFFFAOYSA-N,102.13,1.2,0,2,3,26.3,Active,CCCOC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x00000171583EF990>,102.13299999999998,0.9595,26.3,0,2,TRUE,FALSE
PROPYL-ACETATE,Seed,CID_7997,CCCOC(=O)C,YKYONYBAUNKHLG-UHFFFAOYSA-N,102.13,1.2,0,2,3,26.3,Active,CCCOC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x00000171583EFA00>,102.13299999999998,0.9595,26.3,0,2,TRUE,FALSE
PURINE,Seed,CID_1044,C1=C2C(=NC=N1)N=CN2,KDCGOANMDULRCW-UHFFFAOYSA-N,120.11,-0.4,1,3,0,54.5,Active,c1ncc2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x00000171583EFA70>,120.115,0.3528999999999999,54.46,1,3,TRUE,FALSE
PURINE,Root,CID_1044,C1=C2C(=NC=N1)N=CN2,KDCGOANMDULRCW-UHFFFAOYSA-N,120.11,-0.4,1,3,0,54.5,Active,c1ncc2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x00000171583EFAE0>,120.115,0.3528999999999999,54.46,1,3,TRUE,FALSE
PYRIDOXINE,Seed,CID_1054,CC1=NC=C(C(=C1O)CO)CO,LXNHXLLTXMVWPM-UHFFFAOYSA-N,169.18,-0.8,3,4,2,73.6,Active,Cc1ncc(CO)c(CO)c1O,<rdkit.Chem.rdchem.Mol object at 0x00000171583EFB50>,169.18,0.08021999999999985,73.58000000000001,3,4,TRUE,FALSE
QUERCETIN,Leaf,CID_5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,302.23,1.5,5,7,1,127,Active,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x00000171583EFBC0>,302.23800000000006,1.988,131.36,5,7,TRUE,FALSE
RHAMNOSE,Plant,CID_25310,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O,SHZGCJCMOBCMKK-JFNONXLTSA-N,164.16,-2.1,4,5,0,90.2,Active,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x00000171583EFDF0>,164.15699999999998,-2.1938,90.15,4,5,TRUE,FALSE
RIBOFLAVIN,Seed,CID_493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,AUNGANRZJHBGPY-SCRDCRAPSA-N,376.4,-1.5,5,7,5,155,Active,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,<rdkit.Chem.rdchem.Mol object at 0x00000171583EFE60>,376.36900000000014,-1.72356,161.56,5,9,TRUE,FALSE
RIBOFLAVIN,Fruit,CID_493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,AUNGANRZJHBGPY-SCRDCRAPSA-N,376.4,-1.5,5,7,5,155,Active,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,<rdkit.Chem.rdchem.Mol object at 0x00000171583EFED0>,376.36900000000014,-1.72356,161.56,5,9,TRUE,FALSE
SALICYLATES,Seed,CID_54675850,C1=CC=C(C(=C1)C(=O)O)[O-],YGSDEFSMJLZEOE-UHFFFAOYSA-M,137.11,2.4,1,3,1,60.4,Active,O=C(O)c1ccccc1[O-],<rdkit.Chem.rdchem.Mol object at 0x000001715DC78120>,137.11399999999998,0.45839999999999986,60.36,1,2,TRUE,FALSE
SALSOLINOL,Seed,CID_91588,C[C@H]1C2=CC(=C(C=C2CCN1)O)O,IBRKLUSXDYATLG-LURJTMIESA-N,179.22,1,3,3,0,52.5,Active,C[C@@H]1NCCc2cc(O)c(O)cc21,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78190>,179.219,1.3045,52.489999999999995,3,3,TRUE,FALSE
SERINE,Seed,CID_5951,C([C@@H](C(=O)O)N)O,MTCFGRXMJLQNBG-REOHCLBHSA-N,105.09,-3.1,3,4,2,83.6,Active,N[C@@H](CO)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78200>,105.09299999999999,-1.6094,83.55,3,3,TRUE,FALSE
SEROTONIN,Plant,CID_5202,C1=CC2=C(C=C1O)C(=CN2)CCN,QZAYGJVTTNCVMB-UHFFFAOYSA-N,176.21,0.2,3,2,2,62,Active,NCCc1c[nH]c2ccc(O)cc12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78270>,176.21899999999997,1.3747,62.040000000000006,3,2,TRUE,FALSE
SEROTONIN,Seed,CID_5202,C1=CC2=C(C=C1O)C(=CN2)CCN,QZAYGJVTTNCVMB-UHFFFAOYSA-N,176.21,0.2,3,2,2,62,Active,NCCc1c[nH]c2ccc(O)cc12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC782E0>,176.21899999999997,1.3747,62.040000000000006,3,2,TRUE,FALSE
SINAPIC-ACID,Plant,CID_10743,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,PCMORTLOPMLEFB-UHFFFAOYSA-N,224.21,1.5,2,5,4,76,Active,COc1cc(C=CC(=O)O)cc(OC)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78350>,224.212,1.5071999999999999,75.99000000000001,2,4,TRUE,FALSE
SYRINGIC-ACID,Seed,CID_10742,COC1=CC(=CC(=C1O)OC)C(=O)O,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,198.17,1,2,5,3,76,Active,COc1cc(C(=O)O)cc(OC)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC786D0>,198.17399999999998,1.1076,75.99000000000001,2,4,TRUE,FALSE
TARTARIC-ACID,Seed,CID_444305,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,FEWJPZIEWOKRBE-JCYAYHJZSA-N,150.09,-1.9,4,6,3,115,Active,O=C(O)[C@H](O)[C@@H](O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78740>,150.08599999999998,-2.1226,115.06000000000002,4,4,TRUE,FALSE
THEOBROMINE,Testa,CID_5429,CN1C=NC2=C1C(=O)NC(=O)N2C,YAPQBXQYLJRXSA-UHFFFAOYSA-N,180.16,-0.8,1,3,0,67.2,Active,Cn1cnc2c1c(=O)[nH]c(=O)n2C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC787B0>,180.16699999999997,-1.0397,72.68,1,5,TRUE,FALSE
THEOBROMINE,Seed,CID_5429,CN1C=NC2=C1C(=O)NC(=O)N2C,YAPQBXQYLJRXSA-UHFFFAOYSA-N,180.16,-0.8,1,3,0,67.2,Active,Cn1cnc2c1c(=O)[nH]c(=O)n2C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78820>,180.16699999999997,-1.0397,72.68,1,5,TRUE,FALSE
THEOBROMINE,Petiole,CID_5429,CN1C=NC2=C1C(=O)NC(=O)N2C,YAPQBXQYLJRXSA-UHFFFAOYSA-N,180.16,-0.8,1,3,0,67.2,Active,Cn1cnc2c1c(=O)[nH]c(=O)n2C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78890>,180.16699999999997,-1.0397,72.68,1,5,TRUE,FALSE
THEOPHYLLINE,Testa,CID_2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,180.16,0,1,3,0,69.3,Active,Cn1c(=O)c2[nH]cnc2n(C)c1=O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78900>,180.16699999999997,-1.0397,72.68,1,5,TRUE,FALSE
THEOPHYLLINE,Seed,CID_2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,180.16,0,1,3,0,69.3,Active,Cn1c(=O)c2[nH]cnc2n(C)c1=O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78970>,180.16699999999997,-1.0397,72.68,1,5,TRUE,FALSE
THEOPHYLLINE,Plant,CID_2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,180.16,0,1,3,0,69.3,Active,Cn1c(=O)c2[nH]cnc2n(C)c1=O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC789E0>,180.16699999999997,-1.0397,72.68,1,5,TRUE,FALSE
THEOPHYLLINE,Petiole,CID_2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,180.16,0,1,3,0,69.3,Active,Cn1c(=O)c2[nH]cnc2n(C)c1=O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78A50>,180.16699999999997,-1.0397,72.68,1,5,TRUE,FALSE
THIAMIN,Seed,CID_1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.36,1,2,5,4,104,Active,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78AC0>,265.36199999999997,0.60774,75.91,2,5,TRUE,FALSE
THIAMIN,Fruit,CID_1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.36,1,2,5,4,104,Active,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78B30>,265.36199999999997,0.60774,75.91,2,5,TRUE,FALSE
THREONINE,Seed,CID_6288,C[C@H]([C@@H](C(=O)O)N)O,AYFVYJQAPQTCCC-GBXIJSLDSA-N,119.12,-2.9,3,4,2,83.6,Active,C[C@@H](O)[C@H](N)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78BA0>,119.11999999999999,-1.2209,83.55,3,3,TRUE,FALSE
TRIGONELLINE,Seed,CID_5570,C[N+]1=CC=CC(=C1)C(=O)[O-],WWNNZCOKKKDOPX-UHFFFAOYSA-N,137.14,1.2,0,2,0,44,Active,C[n+]1cccc(C(=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78C10>,137.138,-1.1254,44.01,0,2,TRUE,FALSE
TRYPTAMINE,Seed,CID_1150,C1=CC=C2C(=C1)C(=CN2)CCN,APJYDQYYACXCRM-UHFFFAOYSA-N,160.22,1.6,2,1,2,41.8,Active,NCCc1c[nH]c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78C80>,160.21999999999997,1.6691,41.81,2,1,TRUE,FALSE
TYRAMINE,Plant,CID_5610,C1=CC(=CC=C1CCN)O,DZGWFCGJZKJUFP-UHFFFAOYSA-N,137.18,1.1,2,2,2,46.3,Active,NCCc1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78CF0>,137.18199999999996,0.8934,46.25,2,2,TRUE,FALSE
TYRAMINE,Seed,CID_5610,C1=CC(=CC=C1CCN)O,DZGWFCGJZKJUFP-UHFFFAOYSA-N,137.18,1.1,2,2,2,46.3,Active,NCCc1ccc(O)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78D60>,137.18199999999996,0.8934,46.25,2,2,TRUE,FALSE
TYROSINE,Seed,CID_6057,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,OUYCCCASQSFEME-QMMMGPOBSA-N,181.19,-2.3,3,4,3,83.6,Active,N[C@@H](Cc1ccc(O)cc1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78DD0>,181.19099999999997,0.3466,83.55,3,3,TRUE,FALSE
VALERIC-ACID,Seed,CID_7991,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,102.13,1.4,1,2,3,37.3,Active,CCCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78E40>,102.13299999999998,1.2612,37.3,1,1,TRUE,FALSE
VALINE,Seed,CID_6287,CC(C)[C@@H](C(=O)O)N,KZSNJWFQEVHDMF-BYPYZUCNSA-N,117.15,-2.3,2,3,2,63.3,Active,CC(C)[C@H](N)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78EB0>,117.14799999999998,0.05430000000000007,63.32000000000001,2,2,TRUE,FALSE
VANILLIC-ACID,Seed,CID_8468,COC1=C(C=CC(=C1)C(=O)O)O,WKOLLVMJNQIZCI-UHFFFAOYSA-N,168.15,1.4,2,4,2,66.8,Active,COc1cc(C(=O)O)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC78F20>,168.148,1.0989999999999998,66.76,2,3,TRUE,FALSE
WATER,Seed,CID_962,O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,18.015,-0.5,1,1,0,1,Active,O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC790E0>,18.015,-0.8247,31.5,0,0,TRUE,FALSE
WATER,Fruit,CID_962,O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,18.015,-0.5,1,1,0,1,Active,O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC79150>,18.015,-0.8247,31.5,0,0,TRUE,FALSE
XYLOSE,Seed,CID_135191,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,SRBFZHDQGSBBOR-IOVATXLUSA-N,150.13,-2.5,4,5,0,90.2,Active,OC1OC[C@@H](O)[C@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC791C0>,150.13,-2.5823,90.15,4,5,TRUE,FALSE
ASCORBIC-ACID,Fruit,CID_9888239,C([C@@H]([C@@H]1C(C(=O)C(=O)O1)O)O)O,KRGQEOSDQHTZMX-IGCYCDGOSA-N,176.12,-1.5,3,6,2,104,Active,O=C1O[C@H]([C@@H](O)CO)C(O)C1=O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC79230>,176.124,-2.805,104.06,3,6,TRUE,FALSE
CALCIUM,Fruit,CID_5460341,[Ca],OYPRJOBELJOOCE-UHFFFAOYSA-N,40.08,,0,0,0,0,Active,[Ca],<rdkit.Chem.rdchem.Mol object at 0x000001715DC792A0>,40.078,-0.3808,0,0,0,TRUE,FALSE
IRON,Fruit,CID_23925,[Fe],XEEYBQQBJWHFJM-UHFFFAOYSA-N,55.84,,0,0,0,0,Active,[Fe],<rdkit.Chem.rdchem.Mol object at 0x000001715DC79380>,55.845,-0.0025,0,0,0,TRUE,FALSE
NIACIN,Fruit,CID_938,C1=CC(=CN=C1)C(=O)O,PVNIIMVLHYAWGP-UHFFFAOYSA-N,123.11,0.4,1,3,1,50.2,Active,O=C(O)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x000001715DC793F0>,123.11099999999998,0.7797999999999999,50.19,1,2,TRUE,FALSE
PHOSPHORUS,Fruit,CID_5462309,[P],OAICVXFJPJFONN-UHFFFAOYSA-N,30.973762,,0,0,0,0,Active,[P],<rdkit.Chem.rdchem.Mol object at 0x000001715DC79460>,30.974,0.8612,0,0,0,TRUE,FALSE
RIBOFLAVIN,Fruit,CID_493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,AUNGANRZJHBGPY-SCRDCRAPSA-N,376.4,-1.5,5,7,5,155,Active,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC794D0>,376.36900000000014,-1.72356,161.56,5,9,TRUE,FALSE
THIAMIN,Fruit,CID_1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.36,1,2,5,4,104,Active,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,<rdkit.Chem.rdchem.Mol object at 0x000001715DC79540>,265.36199999999997,0.60774,75.91,2,5,TRUE,FALSE
WATER,Fruit,CID_962,O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,18.015,-0.5,1,1,0,1,Active,O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC795B0>,18.015,-0.8247,31.5,0,0,TRUE,FALSE
GENISTEIN,Leaf,CID_5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,TZBJGXHYKVUXJN-UHFFFAOYSA-N,270.24,2.7,3,5,1,87,Active,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC79620>,270.24,2.576800000000001,90.9,3,5,TRUE,FALSE
GENISTEIN,Leaf,CID_5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,TZBJGXHYKVUXJN-UHFFFAOYSA-N,270.24,2.7,3,5,1,87,Active,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC79690>,270.24,2.576800000000001,90.9,3,5,TRUE,FALSE
HERBACETIN,Flower,CID_5280544,C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O,ZDOTZEDNGNPOEW-UHFFFAOYSA-N,302.23,2.2,5,7,1,127,Active,O=c1c(O)c(-c2ccc(O)cc2)oc2c(O)c(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC79A80>,302.23800000000006,1.988,131.36,5,7,TRUE,FALSE
KAEMPFEROL,Flower,CID_5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,IYRMWMYZSQPJKC-UHFFFAOYSA-N,286.24,1.9,4,6,1,107,Active,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC79AF0>,286.23900000000003,2.2824000000000004,111.13000000000001,4,6,TRUE,FALSE
MYRISTIC-ACID,Seed,CID_11005,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,228.37,5.3,1,2,12,37.3,Active,CCCCCCCCCCCCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC79BD0>,228.37599999999995,4.772100000000004,37.3,1,1,TRUE,FALSE
QUERCETIN,Flower,CID_5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,302.23,1.5,5,7,1,127,Active,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC79D90>,302.23800000000006,1.988,131.36,5,7,TRUE,FALSE
CAOUTCHOUC,Latex Exudate,CID_6557,CC(=C)C=C,RRHGJUQNOFWUDK-UHFFFAOYSA-N,68.12,2.5,0,0,1,0,Active,C=CC(=C)C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7A6C0>,68.119,1.7485,0,0,0,TRUE,FALSE
KAEMPFEROL,Plant,CID_5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,IYRMWMYZSQPJKC-UHFFFAOYSA-N,286.24,1.9,4,6,1,107,Active,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7A8F0>,286.23900000000003,2.2824000000000004,111.13000000000001,4,6,TRUE,FALSE
QUERCETIN,Plant,CID_5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,302.23,1.5,5,7,1,127,Active,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7AD50>,302.23800000000006,1.988,131.36,5,7,TRUE,FALSE
RESIN,Latex Exudate,CID_133110026,C[C@H]1CC[C@H]2[C@H](C2(C)C)C3=C(CCC13)C,SPCXZDDGSGTVAW-GXWLMAPZSA-N,204.35,4.1,0,0,0,0,Active,CC1=C2C(CC1)[C@@H](C)CC[C@H]1[C@@H]2C1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7ADC0>,204.357,4.415000000000004,0,0,0,TRUE,FALSE
(+)-CATECHIN,Branches,CID_9064,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-DZGCQCFKSA-N,290.27,0.4,5,6,1,110,Active,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B220>,290.271,1.5460999999999998,110.38000000000001,5,6,TRUE,FALSE
(-)-BORNEOL,Branches,CID_1201518,C[C@]12CC[C@H](C1(C)C)C[C@H]2O,DTGKSKDOIYIVQL-QXFUBDJGSA-N,154.25,2.7,1,1,0,20.2,Active,CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B290>,154.253,2.1935000000000002,20.23,1,1,TRUE,FALSE
ACETIC-ACID,Branches,CID_176,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,60.05,-0.2,1,2,0,37.3,Active,CC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B370>,60.05200000000001,0.09089999999999993,37.3,1,1,TRUE,FALSE
ALPHA-EUDESMOL,Wood,CID_92762,CC1=CCC[C@]2([C@H]1C[C@@H](CC2)C(C)(C)O)C,FCSRUSQUAVXUKK-VNHYZAJKSA-N,222.37,3.5,1,1,1,20.2,Active,CC1=CCC[C@]2(C)CC[C@@H](C(C)(C)O)C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B3E0>,222.372,3.9200000000000026,20.23,1,1,TRUE,FALSE
ALPHA-THUJAPLICIN,Wood,CID_80297,CC(C)C1=C(C(=O)C=CC=C1)O,TUFYVOCKVJOUIR-UHFFFAOYSA-N,164.2,2.1,1,2,1,37.3,Active,CC(C)c1ccccc(=O)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B450>,164.20399999999995,1.8757999999999995,37.3,1,2,TRUE,FALSE
ASCORBIC-ACID,Branches,CID_9888239,C([C@@H]([C@@H]1C(C(=O)C(=O)O1)O)O)O,KRGQEOSDQHTZMX-IGCYCDGOSA-N,176.12,-1.5,3,6,2,104,Active,O=C1O[C@H]([C@@H](O)CO)C(O)C1=O,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B4C0>,176.124,-2.805,104.06,3,6,TRUE,FALSE
BETA-EUDESMOL,Wood,CID_91457,C[C@]12CCCC(=C)[C@@H]1C[C@@H](CC2)C(C)(C)O,BOPIMTNSYWYZOC-VNHYZAJKSA-N,222.37,3.7,1,1,1,20.2,Active,C=C1CCC[C@]2(C)CC[C@@H](C(C)(C)O)C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B530>,222.37199999999999,3.9200000000000026,20.23,1,1,TRUE,FALSE
BETA-THUJAPLICIN,Wood,CID_3611,CC(C)C1=CC(=O)C(=CC=C1)O,FUWUEFKEXZQKKA-UHFFFAOYSA-N,164.2,2.1,1,2,1,37.3,Active,CC(C)c1cccc(O)c(=O)c1,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B610>,164.20399999999995,1.8758000000000001,37.3,1,2,TRUE,FALSE
BORNEOL,Branches,CID_6552009,C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2O,DTGKSKDOIYIVQL-WEDXCCLWSA-N,154.25,2.7,1,1,0,20.2,Active,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B680>,154.253,2.1935000000000002,20.23,1,1,TRUE,FALSE
BORNYL-ACETATE,Branches,CID_247573,CC(=O)O[C@H]1C[C@H]2CC[C@]1(C2(C)C)C,KGEKLUUHTZCSIP-JFGNBEQYSA-N,196.29,3.3,0,2,2,26.3,Active,CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B6F0>,196.29,2.7643000000000013,26.3,0,2,TRUE,FALSE
CAMPHENE,Branches,CID_6616,CC1(C2CCC(C2)C1=C)C,CRPUJAZIXJMDBK-UHFFFAOYSA-N,136.23,3.3,0,0,0,0,Active,C=C1C2CCC(C2)C1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B760>,136.238,2.9987000000000013,0,0,0,TRUE,FALSE
CAMPHOR,Branches,CID_2537,CC1(C2CCC1(C(=O)C2)C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N,152.23,2.2,0,1,0,17.1,Active,CC12CCC(CC1=O)C2(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B7D0>,152.237,2.401700000000001,17.07,0,1,TRUE,FALSE
D-ALPHA-PINENE,Branches,CID_82227,CC1=CC[C@@H]2C[C@H]1C2(C)C,GRWFGVWFFZKLTI-RKDXNWHRSA-N,136.23,2.8,0,0,0,0,Active,CC1=CC[C@@H]2C[C@H]1C2(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001715DC7B840>,136.238,2.9987000000000013,0,0,0,TRUE,FALSE
